group_name,app_name,platform,country,language,create_datediff,orders
base,ms,android,D,r,31-90day,6279
base,ms,android,K,r,0day,6271
this,ms,ios,H,n,31-90day,6248
this,ms,android,K,j,>90day,6244
base,ms,ios,N,n,1-7day,6241
this,ms,android,P,a,31-90day,6225
base,tv,ios,E,n,>90day,6210
base,ms,android,Y,n,31-90day,6207
this,tv,android,s,n,>90day,6205
this,ms,android,N,e,0day,6193
base,ms,ios,U,u,31-90day,6179
base,ms,android,Y,n,8-30day,6159
this,ms,android,T,n,>90day,6153
base,ms,android,E,r,0day,6140
base,ms,ios,S,s,1-7day,6118
this,tv,android,N,i,8-30day,6106
base,ms,ios,N,i,31-90day,6087
base,ms,android,Y,n,0day,6073
this,ms,android,s,n,1-7day,6063
this,ms,android,U,z,31-90day,6036
this,ms,android,N,r,8-30day,5930
base,ms,android,N,n,0day,5921
base,ms,android,E,n,>90day,5920
base,tv,android,D,n,31-90day,5887
this,ms,android,K,r,0day,5817
base,tv,android,N,i,8-30day,5817
base,tv,android,X,s,31-90day,5810
this,ms,ios,N,n,1-7day,5786
base,ms,android,P,a,31-90day,5761
this,tv,android,R,t,8-30day,5710
this,ms,ios,P,a,>90day,5703
base,ms,android,K,n,31-90day,5698
base,ms,android,K,j,>90day,5688
this,tv,android,X,s,31-90day,5682
this,ms,ios,R,o,>90day,5661
this,ms,android,E,n,>90day,5615
base,tv,android,N,i,1-7day,5607
base,ms,android,N,n,0day,5576
base,si,android,D,n,31-90day,5561
this,ms,ios,O,s,>90day,5530
this,ms,android,N,j,>90day,5500
this,ms,android,K,r,>90day,5499
base,ms,ios,P,a,>90day,5491
base,ems,android,N,n,31-90day,5490
base,ms,ios,E,n,0day,5487
base,ms,ios,R,o,>90day,5468
this,ms,android,Y,n,0day,5468
base,ms,android,N,a,0day,5437
base,tv,android,O,s,31-90day,5427
this,ms,android,E,r,0day,5422
this,md,android,D,n,8-30day,5404
base,ms,android,N,j,>90day,5399
base,md,android,D,n,8-30day,5395
base,si,android,N,n,8-30day,5381
this,ms,android,K,r,>90day,5346
this,ms,android,N,i,0day,5320
this,tv,android,O,s,31-90day,5298
this,tv,android,U,u,8-30day,5273
this,ms,ios,W,h,8-30day,5240
base,ms,android,E,i,31-90day,5216
this,ms,ios,H,n,1-7day,5177
base,ms,ios,O,s,>90day,5170
this,ms,ios,U,u,31-90day,5149
base,tv,android,H,n,1-7day,5149
base,tv,android,U,u,8-30day,5143
this,si,android,N,n,8-30day,5100
base,ms,android,K,r,>90day,5098
base,ms,android,N,r,8-30day,5095
base,ms,ios,U,u,0day,5092
this,tv,android,N,i,1-7day,5092
this,tv,android,S,n,8-30day,5084
this,tv,android,D,n,31-90day,5073
this,ms,android,N,r,8-30day,5058
this,tv,android,E,d,>90day,5046
this,ms,ios,s,n,>90day,5036
base,ms,ios,P,a,0day,5030
this,ms,ios,N,i,31-90day,4933
base,ms,android,N,l,0day,4908
base,ms,ios,s,n,>90day,4907
this,ms,android,U,z,1-7day,4902
base,ms,android,N,r,1-7day,4886
this,tv,android,R,r,31-90day,4876
base,tv,android,S,s,>90day,4870
base,tv,android,R,r,>90day,4849
this,ms,ios,P,n,>90day,4831
this,ems,android,N,n,31-90day,4821
this,ms,android,N,l,0day,4816
this,ms,ios,S,s,8-30day,4815
base,tv,android,E,d,>90day,4815
this,tv,android,R,r,>90day,4798
base,ms,android,K,r,>90day,4772
base,tv,android,R,r,31-90day,4751
this,ms,android,N,n,>90day,4745
this,ms,android,D,i,31-90day,4738
this,tv,android,S,s,>90day,4684
this,ms,android,U,z,8-30day,4677
base,ms,android,N,r,8-30day,4675
this,si,android,D,n,31-90day,4665
base,ms,ios,P,n,>90day,4660
base,ms,android,N,n,>90day,4656
this,ms,ios,D,n,>90day,4651
this,ms,android,N,a,0day,4622
this,ms,android,Y,n,8-30day,4600
base,tv,android,N,r,>90day,4595
base,ms,android,W,n,31-90day,4548
this,ms,ios,W,h,1-7day,4546
this,tv,android,E,r,0day,4515
this,ms,ios,E,n,8-30day,4481
this,ms,android,N,n,0day,4480
base,ms,android,P,a,8-30day,4474
this,ms,ios,E,n,0day,4471
base,tv,android,S,n,8-30day,4452
base,ms,android,U,z,8-30day,4451
this,tv,android,H,n,1-7day,4436
base,ms,ios,D,n,>90day,4423
this,ms,ios,P,a,0day,4421
this,ms,android,s,r,>90day,4413
this,ms,android,N,r,1-7day,4353
base,ms,ios,H,n,8-30day,4347
this,ms,android,N,n,0day,4343
base,ms,android,s,r,>90day,4342
this,ms,ios,S,n,0day,4294
this,tv,android,N,r,>90day,4237
base,ms,android,N,r,1-7day,4235
this,ems,ios,H,h,31-90day,4230
base,ms,android,U,z,1-7day,4186
base,ms,android,E,d,31-90day,4181
base,ms,android,E,r,1-7day,4166
this,ems,android,N,i,1-7day,4148
base,ms,android,S,n,>90day,4144
this,ms,ios,H,n,0day,4111
base,ms,android,s,n,0day,4110
this,ms,android,N,d,>90day,4106
this,ms,android,W,n,31-90day,4098
this,ms,android,S,n,>90day,4092
base,ms,ios,S,s,>90day,4084
this,ms,ios,D,n,>90day,4081
